from,to ,relationship,collab,conflict
TWO,BIG,6,1,0
TWO,BR,6,1,0
BAZ,SD,0,1,0
BAZ,DAZ,0,1,0
BB,TWO,0,0,0
BB,BR,0,0,0
BB,BIG,0,0,0
BB,CB,0,0,0
BB,CHT,0,0,0
BB,CM,0,0,0
BB,CT,0,0,0
BB,DA,0,0,0
BB,DEP,0,0,0
BB,DJ,0,0,0
BB,EMB,0,0,0
BB,FE,0,0,0
BB,HP,0,0,0
BB,JK,0,0,0
BB,KR,0,0,0
BB,LK,0,0,0
BB,M,0,0,0
BB,MC,0,0,0
BB,MK,0,0,0
BB,MS,0,0,0
BB,MW,0,0,0
BB,PD,0,0,0
BB,PL,0,0,0
BB,QP,0,0,0
BB,RAL,0,0,0
BB,RS,0,0,0
BB,SH,0,0,0
BB,SJ,0,0,0
BB,SL,0,0,0
BB,STY,0,0,0
BB,TAN,0,0,0
BB,TL,0,0,0
BB,TT,0,0,0
BB,YL,0,0,0
BPD,DD,0,1,0
BPD,SD,0,1,0
BPD,KPT,0,1,0
BPD,DAZ,0,1,0
BPD,SOO,0,1,0
BPD,T,0,1,0
BPD,OFTB,0,1,0
BPD,JW,0,1,0
BPD,ND,0,1,0
BR,PD,6,1,0
CB,LK,0,1,0
CB,BIG,0,1,0
CB,PD,0,1,0
CB,M,0,1,0
CHT,FE,1,1,0
CHT,BIG,0,1,0
CHT,PD,1,1,0
CHT,FE,6,1,0
CL,T,0,2,0
CM,BIG,6,1,0
CPO,DD,0,1,0
CPO,T,0,1,0
CPO,SD,0,1,0
CPO,TR,0,1,0
DA,PD,0,1,0
DA,BIG,0,1,0
DAZ,SOO,0,1,0
DAZ,CL,0,1,0
DAZ,T,0,1,0
DAZ,OUT,0,1,0
DBOY,T,1,1,0
DBOY,DD,0,1,0
DBOY,SD,0,1,0
DBOY,CL,0,1,0
DBOY,EW,0,1,0
DBOY,OUT,0,1,0
DBOY,KPT,0,1,0
DBOY,DAZ,0,1,0
DBOY,TLOR,0,1,0
DD,ML,0,2,1
DD,SN,1,2,3
DD,DG,0,2,1
DD,TD,1,2,1
DD,ML,4,2,0
DD,ML,0,1,0
DD,TD,0,1,0
DiUn,SG,0,2,0
DiUn,T,0,2,0
DiUn,MB,0,2,0
DiUn,DF,0,2,0
DiUn,CH,0,2,0
DiUn,ScS,0,2,0
DiUn,PW,0,2,0
DJ,MK,1,1,0
DR,ATL,0,0,0
DR,BAZ,0,0,0
DR,BD,0,0,0
DR,CL,0,0,0
DR,BPD,0,0,0
DR,COLD,0,0,0
DR,CPO,0,0,0
DR,DAZ,0,0,0
DR,DBOY,0,0,0
DR,DD,0,0,0
DR,DG,0,0,0
DR,DJ,0,0,0
DR,DR,0,0,0
DR,EDI,0,0,0
DR,EW,0,0,0
DR,FS,0,0,0
DR,GO,0,0,0
DR,GP,0,0,0
DR,HUS,0,0,0
DR,JF,0,0,0
DR,JW,0,0,0
DR,KAS,0,0,0
DR,KDG,0,0,0
Dr,KMG,0,0,0
DR,KOS,0,0,0
DR,KPT,0,0,0
DR,LAK,0,0,0
DR,LIL,0,0,0
DR,LL,0,0,0
DR,LMB,0,0,0
DR,MAM,0,0,0
DR,MCH,0,0,0
DR,ML,0,0,0
DR,MS,0,0,0
DR,MUSS,0,0,0
DR,NAP,0,0,0
DR,ND,0,0,0
DR,OFTB,0,0,0
DR,OUT,0,0,0
DR,RBX,0,0,0
DR,PIJ,0,0,0
DR,RE,0,0,0
DR,SAM,0,0,0
DR,SD,0,0,0
DR,SG,0,0,0
DR,SN,0,0,0
DR,SOO,0,0,0
DR,T,0,0,0
DR,TD,0,0,0
DR,TDP,0,0,0
DR,TLOR,0,0,0
DR,TMY,0,0,0
DR,TP,0,0,0
DR,TR,0,0,0
DR,YAK,0,0,0
DR,YON,0,0,0
DR,YS,0,0,0
EMB,BIG,0,1,0
EMB,PD,0,1,0
EMB,CM,0,1,0
EMB,T,0,1,3
EW,CL,0,1,0
EW,KPT,0,1,0
EW,LL,0,1,0
FE,TWO,1,1,0
FE,BIG,5,1,5
FE,T,3,2,3
FE,PD,1,1,0
FE,SJ,5,1,0
GP,DAZ,,1,0
JF,DAZ,0,1,0
JF,DD,0,1,0
JF,TP,0,1,0
JF,SN,0,1,0
JK,SL,1,1,0
JuMa,BIG,0,2,0
JuMa,LK,0,2,0
JuMa,LC,0,2,0
JuMa,CB,0,2,0
JuMa,CDV,0,2,0
JuMa,TRI,0,2,0
JuMa,LA,0,2,0
JuMa,CP,0,2,0
JuMa,NB,0,2,0
JuMa,MCK,0,2,0
JuMa,BU,0,2,0
JW,SD,0,1,0
JW,T,0,1,0
JW,DD,0,1,0
KPT,SN,0,1,0
KPT,DAZ,1,1,0
KPT,DJ,0,1,0
KPT,SN,0,1,0
KPT,SOO,0,1,0
KPT,CL,0,1,0
KR,KS,1,1,0
KR,PL,1,1,0
KS,PL,1,1,0
LIL,SOO,0,1,0
LIL,SD,0,1,3
LIL,SN,0,1,0
LIL,T,0,1,0
LL,T,1,2,0
M,TWO,6,1,0
M,BR,6,1,0
M,TL,6,1,0
M,TT,6,1,0
M,PD,1,1,3
M,LK,6,1,0
M,BIG,6,1,0
MAM,DAZ,0,1,0
MCH,T,1,1,0
MCH,DBOY,0,1,0
MK,MSC,1,1,0
ML,SN,4,2,0
